Unknown freshly browsed,Quercus petraea freshly browsed,Quercus robur freshly browsed,Quercus cerris freshly browsed,Fraxinus excelsior freshly browsed,Fraxinus ornus freshly browsed,Carpinus betulus freshly browsed,Fagus sylvatica freshly browsed,Acer pseudoplatanus freshly browsed,Acer platanoides freshly browsed,Acer campestre freshly browsed,Pinus sylvestris freshly browsed,Robinia pseudoacacia freshly browsed,Ligustrum vulgare  freshly browsed,Crataegus monogyna freshly browsed,Cornus mas freshly browsed,Cornus sanguinea freshly browsed,Prunus spinosa freshly browsed,Rubus fruticosus  freshly browsed,Rosa canina  freshly browsed,Sambucus nigra freshly browsed,Acer tataricum freshly browsed,Prunus avium  freshly browsed,Corylus avellana freshly browsed,Ulmus minor  freshly browsed,Sorbus aucuparia freshly browsed,Pyrus pyraster  freshly browsed,Euonymus verrucosus freshly browsed,Quercus pubescens freshly browsed
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,1.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.2,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,0.3333333333333333,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,0.14285714285714285,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.2,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.1875,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.125,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,0.1111111111111111,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,0.0,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05,-1e-05
